"codBus","codLinea","sentido","lon","lat","codParIni","last_update"
"575","33.0","2","-4.4288063","36.716988","3264","2022-11-11 17:44:03"
"615","33.0","1","-4.3823857","36.722027","3327","2022-11-11 17:44:03"
"627","33.0","2","-4.4160795","36.719627","302","2022-11-11 17:44:03"
"500","34.0","2","-4.428176","36.71679","3328","2022-11-11 17:44:03"
"505","34.0","2","-4.4224277","36.717785","1173","2022-11-11 17:44:03"
"512","34.0","1","-4.367634","36.725533","3415","2022-11-11 17:44:03"
"513","35.0","2","-4.4099956","36.723686","3551","2022-11-11 17:44:03"
"705","35.0","2","-4.4106874","36.721115","1170","2022-11-11 17:44:03"
"727","36.0","2","-4.4162464","36.71957","164","2022-11-11 17:44:03"
"501","37.0","1","-4.416259","36.733047","158","2022-11-11 17:44:03"
"502","37.0","2","-4.4286895","36.71673","3722","2022-11-11 17:44:03"
"508","37.0","2","-4.4188304","36.71882","1803","2022-11-11 17:44:03"
"602","38.0","1","-4.4314456","36.721653","602","2022-11-11 17:44:03"
"702","38.0","2","-4.440894","36.721546","846","2022-11-11 17:44:03"
"410","40.0","2","-4.448194","36.680923","3951","2022-11-11 17:44:03"
"637","40.0","1","-4.428567","36.708904","3902","2022-11-11 17:44:03"
"504","62.0","2","-4.4746313","36.72329","831","2022-11-11 17:44:03"
"642","75.0","2","-4.4908094","36.677387","7502","2022-11-11 17:44:03"
"644","75.0","2","-4.4469633","36.698875","354","2022-11-11 17:44:03"
"680","75.0","1","-4.433751","36.71254","1905","2022-11-11 17:44:03"
"706","71.0","1","-4.439256","36.726776","659","2022-11-11 17:44:03"
"701","71.0","1","-4.4220614","36.71794","119","2022-11-11 17:44:03"
"707","71.0","2","-4.416697","36.72337","170","2022-11-11 17:44:03"
"699","71.0","2","-4.4242115","36.72706","959","2022-11-11 17:44:03"
"709","72.0","1","-4.424635","36.73302","2671","2022-11-11 17:44:03"
"567","72.0","1","-4.4321055","36.713776","1862","2022-11-11 17:44:03"
"708","72.0","2","-4.440243","36.728035","607","2022-11-11 17:44:03"
"509","73.0","1","-4.3869257","36.728527","7311","2022-11-11 17:44:03"
"724","44.0","2","-4.429803","36.716373","1463","2022-11-11 17:44:03"
