,nombreParada,codParada,lat,lon
51,Victoria - Plaza de la Merced,103,36.723415,-4.4164634
52,Victoria,508,36.725758,-4.4146047
53,Compás de la Victoria,104,36.7274,-4.413547
54,Fernando el Católico,105,36.729034,-4.4137077
55,Cristo de la Epidemia,106,36.731037,-4.415068
56,Plaza de Fuente Olletas,107,36.732986,-4.416382
57,Alameda de Barceló - San Miguel,109,36.732,-4.418102
58,Alameda de Barceló - Monserrat,110,36.731308,-4.420457
59,San Juan Bosco - Segalerva,111,36.73255,-4.4217486
60,San Juan Bosco - Albeniz,112,36.734287,-4.4222836
61,San Juan Bosco - Guerrero Strachan,113,36.737026,-4.4225698
62,Florencia,174,36.737507,-4.4210634
63,Atarazanas,229,36.717873,-4.4246693
64,Pasillo de Santa Isabel,202,36.72018,-4.4250216
65,Puente de la Aurora,230,36.7223,-4.425257
66,Huerto de los Claveles,205,36.727066,-4.425604
67,Jorge Silvela - Cruz Roja,206,36.732082,-4.4250317
68,Av. Jorge Silvela - Fernando Loring,207,36.735397,-4.4247518
69,Av. Ramón y Cajal - Cristo Rey,208,36.738297,-4.4241014
70,Av. Ramón Y Cajal - Bda. del Carmen,209,36.741043,-4.4232445
71,Av. Ramón y Cajal - Bda. Sgda. Familia,210,36.74324,-4.422925
72,Av. Ramón y Cajal - Mercado,211,36.745785,-4.4225507
73,Av. Jacinto Benavente,212,36.74897,-4.4235425
74,Arroyo del Sastre - Limonero,214,36.753784,-4.4258966
75,San José,251,36.755424,-4.4255757
76,Cmno. de Casabermeja,252,36.75296,-4.424183
77,Cmno. Casabermeja - Polideportivo,264,36.750862,-4.422961
78,Av. Jacinto Benavente,263,36.74889,-4.4237776
79,Av. Ramón y Cajal - Mercado,254,36.745804,-4.4227376
80,Av. Ramón y Cajal - Bda. Sgda. Familia,255,36.74333,-4.423113
81,Av. Ramón y Cajal - Bda. Del Carmen,256,36.740932,-4.4234753
82,Av. Ramón y Cajal - Cristo Rey,257,36.738686,-4.424136
83,Av. Jorge Silvela,258,36.73516,-4.425061
84,Paseo de Martiricos,259,36.729572,-4.427085
85,Av. de Fátima,260,36.72561,-4.426643
86,Av. de Fátima - Trinidad,261,36.72329,-4.4261913
87,Mármoles,960,36.721706,-4.4274178
88,Armengual de la Mota,961,36.71998,-4.429304
89,Puerta Blanca - Gregorio Diego,351,36.691048,-4.4532385
90,Av. de Gregorio Diego,352,36.69185,-4.45487
91,Av. de Velázquez - Los Guindos,353,36.694046,-4.4528813
92,Av. de Velázquez - Bda. La Paz,354,36.695988,-4.450407
93,Av. de Velázquez - Vistafranca,355,36.69807,-4.4477587
94,Av. de Velázquez - El Torcal,356,36.700157,-4.445117
103,Alameda Principal - Sur,322,36.717796,-4.4217043
104,Paseo del Parque - Plaza de la Marina,1122,36.71848,-4.419235
105,Paseo del Parque - Ayuntamiento,1123,36.71969,-4.4149218
106,Paseo de Reding - Plaza de Toros,1103,36.720894,-4.410435
107,Paseo de Reding - Keromnes,1104,36.720882,-4.4076843
108,Paseo de Sancha - La Caleta,1105,36.7215,-4.4029794
109,Paseo de Sancha - Monte Sancha,1106,36.721977,-4.400857
110,Av. Pintor J. Sorolla - El Limonar,1107,36.722946,-4.397927
111,Av. Pintor J. Sorolla - Miramar,1108,36.7234,-4.3963275
112,Av. Pintor J. Sorolla - Bellavista,1109,36.7235,-4.3941636
113,Av. Pintor J. Sorolla - El Morlaco,1110,36.722538,-4.3888707
114,Bolivia - Baños del Carmen,1111,36.721436,-4.382356
115,Av. Juan Sebastián Elcano - Pez Plata,1124,36.721943,-4.3794246
116,Av. Juan Sebastián Elcano - Pedregalejo,1125,36.72224,-4.3771143
117,Av. Juan Sebastián Elcano - Los Galanes,1127,36.722347,-4.373613
